YEAR,Number of Cyclones,month
1992,1,Mar-May
1993,0,Mar-May
1994,1,Mar-May
1995,0,Mar-May
1996,0,Mar-May
1997,1,Mar-May
1998,1,Mar-May
1999,1,Mar-May
2000,1,Mar-May
2001,1,Mar-May
2002,0,Mar-May
2003,1,Mar-May
2004,2,Mar-May
2005,0,Mar-May
2006,1,Mar-May
2007,1,Mar-May
2008,1,Mar-May
2009,2,Mar-May
2010,1,Mar-May
2011,0,Mar-May
2012,0,Mar-May
1951,1,June-Sept
1952,1,June-Sept
1953,1,June-Sept
1954,1,June-Sept
1955,2,June-Sept
1956,1,June-Sept
1957,1,June-Sept
1958,0,June-Sept
1959,4,June-Sept
1960,0,June-Sept
1961,2,June-Sept
1962,1,June-Sept
1963,0,June-Sept
1964,2,June-Sept
1965,0,June-Sept
1966,2,June-Sept
1967,0,June-Sept
1968,2,June-Sept
1969,1,June-Sept
1970,2,June-Sept
1971,2,June-Sept
1972,3,June-Sept
1973,2,June-Sept
1974,4,June-Sept
1975,1,June-Sept
1976,2,June-Sept
1977,1,June-Sept
1978,1,June-Sept
1979,3,June-Sept
1980,0,June-Sept
1981,2,June-Sept
1982,0,June-Sept
1983,0,June-Sept
1984,0,June-Sept
1985,1,June-Sept
1986,0,June-Sept
1987,1,June-Sept
1988,0,June-Sept
1989,1,June-Sept
1990,0,June-Sept
1991,0,June-Sept
1992,1,June-Sept
1993,0,June-Sept
1994,1,June-Sept
1995,0,June-Sept
1996,2,June-Sept
1997,1,June-Sept
1998,1,June-Sept
1999,0,June-Sept
2000,0,June-Sept
2001,1,June-Sept
2002,0,June-Sept
2003,0,June-Sept
2004,0,June-Sept
2005,1,June-Sept
2006,1,June-Sept
2007,2,June-Sept
2008,0,June-Sept
2009,0,June-Sept
2010,1,June-Sept
2011,0,June-Sept
2012,0,June-Sept
1951,2,Oct-Dec
1952,2,Oct-Dec
1953,0,Oct-Dec
1954,1,Oct-Dec
1955,3,Oct-Dec
1956,1,Oct-Dec
1957,2,Oct-Dec
1958,4,Oct-Dec
1959,1,Oct-Dec
1960,3,Oct-Dec
1961,0,Oct-Dec
1962,3,Oct-Dec
1963,4,Oct-Dec
1964,4,Oct-Dec
1965,4,Oct-Dec
1966,5,Oct-Dec
1967,4,Oct-Dec
1968,4,Oct-Dec
1969,4,Oct-Dec
1970,3,Oct-Dec
1971,4,Oct-Dec
1972,3,Oct-Dec
1973,4,Oct-Dec
1974,1,Oct-Dec
1975,4,Oct-Dec
1976,5,Oct-Dec
1977,4,Oct-Dec
1978,3,Oct-Dec
1979,1,Oct-Dec
1980,3,Oct-Dec
1981,4,Oct-Dec
1982,3,Oct-Dec
1983,3,Oct-Dec
1984,3,Oct-Dec
1985,4,Oct-Dec
1986,1,Oct-Dec
1987,3,Oct-Dec
1988,3,Oct-Dec
1989,1,Oct-Dec
1990,1,Oct-Dec
1991,1,Oct-Dec
1992,4,Oct-Dec
1993,2,Oct-Dec
1994,2,Oct-Dec
1995,3,Oct-Dec
1996,3,Oct-Dec
